Država,Vrsta,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20
Angola,Robusta/Arabica,2100000,1740000,1980000,2100000,2340000,2460000,2700000,2100000,2520000,3120000
Bolivia (Plurinational State of),Arabica,7020000,7920000,6300000,7200000,6000000,5040000,4680000,5040000,4980000,4860000
Brazil,Arabica/Robusta,3325680000,2915520000,3325080000,3281340000,3198300000,3172260000,3407280000,3164400000,3907860000,3492660000
Burundi,Arabica/Robusta,21180000,12240000,24360000,9780000,14880000,16140000,11760000,12120000,12240000,16320000
Ecuador,Arabica/Robusta,51240000,49500000,49680000,39960000,38640000,38640000,38700000,37440000,29760000,33540000
Indonesia,Robusta/Arabica,547740000,413340000,784200000,774060000,656760000,755100000,692460000,651120000,577080000,685980000
Madagascar,Robusta,31800000,35100000,30000000,35040000,30060000,24840000,27180000,24240000,22740000,22980000
Malawi,Arabica,1020000,1560000,1380000,1680000,1500000,1260000,1200000,840000,780000,960000
Papua New Guinea,Arabica/Robusta,52020000,84840000,42960000,50100000,47880000,42720000,70260000,44040000,55800000,45120000
Paraguay,Arabica,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000
Peru,Arabica,244140000,322380000,267000000,246360000,172980000,198240000,253380000,256740000,255780000,230160000
Rwanda,Arabica,19380000,15060000,15540000,15480000,14280000,17580000,13860000,15840000,22800000,20880000
Timor-Leste,Arabica,3600000,2820000,3660000,4800000,6660000,3540000,4920000,3900000,8340000,6180000
Zimbabwe,Arabica,600000,540000,420000,540000,900000,840000,900000,420000,600000,540000
Congo,Robusta,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000
Cuba,Arabica,6480000,6000000,5280000,6420000,6060000,6000000,6180000,6780000,7680000,7800000
Dominican Republic,Arabica/Robusta,22680000,29460000,29280000,25500000,23820000,24000000,24720000,24720000,25860000,24120000
Haiti,Arabica,21000000,20940000,21000000,20700000,20580000,20460000,20520000,20520000,20820000,20820000
Philippines,Robusta/Arabica,11340000,10800000,10620000,11160000,11580000,12480000,12900000,12180000,12360000,18420000
Tanzania,Arabica/Robusta,50760000,38460000,69060000,48660000,45180000,55800000,50760000,46980000,70500000,55560000
Zambia,Arabica,780000,660000,300000,660000,180000,240000,780000,1140000,2040000,900000
Cameroon,Robusta/Arabica,31620000,40140000,22260000,24240000,28980000,23460000,17520000,22200000,18600000,16080000
Central African Republic,Robusta,4680000,5460000,1380000,5400000,3780000,6000000,2220000,3600000,2220000,3300000
Colombia,Arabica,511380000,459180000,595620000,727440000,799980000,840540000,878040000,829440000,831960000,846000000
Costa Rica,Arabica,96840000,109860000,109380000,93120000,88500000,86400000,82320000,93660000,85620000,88320000
Côte d'Ivoire,Robusta,50220000,132960000,119640000,155880000,103680000,77340000,67020000,97440000,130500000,115740000
Democratic Republic of Congo,Robusta/Arabica,18300000,21420000,20040000,20820000,20100000,22260000,16740000,22920000,23820000,23460000
El Salvador,Arabica,112380000,69840000,74400000,30900000,39900000,33900000,36600000,45600000,45660000,39660000
Ethiopia,Arabica,333600000,339000000,367920000,374520000,382980000,390900000,428580000,440820000,450660000,440580000
Gabon,Robusta,120000,60000,60000,0,60000,60000,0,0,60000,0
Ghana,Robusta,4140000,1800000,1260000,1500000,2100000,2160000,1560000,780000,900000,840000
Guatemala,Arabica/Robusta,237000000,231000000,225780000,191340000,198600000,204600000,221040000,224040000,240420000,216360000
Guinea,Robusta,23160000,23160000,14040000,6060000,9900000,17160000,16200000,13740000,9180000,10680000
Guyana,Robusta,540000,600000,600000,780000,540000,660000,600000,600000,600000,600000
Honduras,Arabica,259860000,352920000,281160000,274980000,316080000,347160000,447420000,453600000,429180000,355860000
India,Robusta/Arabica,336000000,320040000,324180000,304500000,327000000,349800000,369660000,348780000,319500000,299280000
Jamaica,Arabica,1260000,1440000,1440000,1200000,1260000,1200000,1080000,1140000,1080000,1380000
Kenya,Arabica,38460000,45420000,52500000,50580000,46200000,47940000,47580000,47400000,55800000,50640000
Lao People's Democratic Republic,Robusta,32640000,30840000,32460000,32640000,33120000,32100000,30600000,31980000,38820000,37320000
Liberia,Robusta,600000,600000,600000,360000,420000,600000,720000,960000,360000,360000
Mexico,Arabica/Robusta,240060000,273660000,259620000,234960000,218160000,166320000,218100000,269100000,261060000,239100000
Nepal,Arabica,180000,120000,60000,60000,120000,120000,60000,120000,60000,60000
Nicaragua,Arabica,98280000,131580000,112380000,123600000,113880000,127800000,153300000,158520000,172740000,172920000
Nigeria,Robusta,2520000,2820000,2460000,2460000,2580000,2460000,2580000,2520000,2520000,2520000
Panama,Arabica,6840000,6360000,6960000,6780000,6360000,7620000,7200000,6300000,7680000,6840000
Sierra Leone,Robusta,1980000,4680000,3660000,1920000,2760000,2760000,2280000,2280000,2700000,2400000
Sri Lanka,Robusta/Arabica,2220000,2160000,2100000,2220000,2160000,2160000,2220000,2220000,2160000,2160000
Thailand,Robusta/Arabica,49680000,49860000,36480000,38280000,50700000,45720000,32280000,38280000,28920000,31020000
Togo,Robusta,9600000,9600000,5040000,10320000,8580000,4860000,1380000,6900000,3240000,2460000
Trinidad & Tobago,Robusta,600000,660000,720000,720000,720000,720000,720000,720000,780000,720000
Uganda,Robusta/Arabica,196020000,186900000,234840000,217980000,224640000,219000000,297720000,275820000,282240000,330540000
Venezuela,Arabica,72120000,54120000,57120000,48240000,39000000,30000000,31500000,34320000,34680000,39000000
Viet Nam,Robusta/Arabica,1200000000,1590000000,1404120000,1656600000,1634460000,1865400000,1669140000,2005920000,1816980000,1829220000
Yemen,Arabica,9660000,11100000,11280000,11220000,10680000,9360000,8580000,7920000,5160000,5460000
